Provider,ActualLabel,FraudProbability,RecommendedAction,TopReasons
PRV53921,No Fraud,0.25,No action needed,total_claim_amount = 322230.0 (contributed +0.84 to fraud score) | total_claims = 768.0 (contributed +0.314 to fraud score) | total_deductible_paid = 11152.0 (contributed +0.223 to fraud score)
PRV54970,No Fraud,0.2498,No action needed,total_deductible_paid = 7288.0 (contributed +0.248 to fraud score) | claims_per_patient = 1.29 (contributed +0.146 to fraud score) | std_claim_amount = 1351.9 (contributed +0.144 to fraud score)
PRV56432,No Fraud,0.2496,No action needed,total_deductible_paid = 5340.0 (contributed +0.218 to fraud score) | claims_per_physician = 1.92 (contributed +0.201 to fraud score) | total_claims = 25.0 (contributed +0.178 to fraud score)
PRV54325,No Fraud,0.2489,No action needed,total_claim_amount = 142000.0 (contributed +0.581 to fraud score) | avg_claim_duration = 4.53 (contributed +0.465 to fraud score) | avg_claim_amount = 9466.67 (contributed +0.278 to fraud score)
PRV54139,No Fraud,0.2483,No action needed,claims_per_patient = 1.9 (contributed +0.243 to fraud score) | total_deductible_paid = 5520.0 (contributed +0.172 to fraud score) | unique_physicians = 7.0 (contributed +0.093 to fraud score)
PRV57375,No Fraud,0.247,No action needed,claims_per_patient = 2.31 (contributed +0.438 to fraud score) | total_deductible_paid = 6568.0 (contributed +0.237 to fraud score) | unique_patients = 35.0 (contributed +0.125 to fraud score)
PRV55520,No Fraud,0.2464,No action needed,claims_per_patient = 2.43 (contributed +0.821 to fraud score) | total_claims = 287.0 (contributed +0.14 to fraud score) | unique_patients = 118.0 (contributed +0.122 to fraud score)
PRV57532,No Fraud,0.2462,No action needed,claims_per_patient = 2.24 (contributed +0.75 to fraud score) | total_claims = 351.0 (contributed +0.205 to fraud score) | num_outpatient_claims = 351.0 (contributed +0.048 to fraud score)
PRV52576,No Fraud,0.2453,No action needed,avg_num_diagnosis_codes = 3.27 (contributed +0.2 to fraud score) | total_claims = 26.0 (contributed +0.175 to fraud score) | total_deductible_paid = 3204.0 (contributed +0.141 to fraud score)
PRV57171,No Fraud,0.2451,No action needed,claims_per_patient = 2.89 (contributed +0.907 to fraud score) | total_deductible_paid = 3864.0 (contributed +0.197 to fraud score) | total_claims = 191.0 (contributed +0.096 to fraud score)
PRV53942,No Fraud,0.2449,No action needed,avg_claim_duration = 3.48 (contributed +0.297 to fraud score) | inpatient_ratio = 0.32 (contributed +0.206 to fraud score) | total_claims = 25.0 (contributed +0.169 to fraud score)
PRV51446,No Fraud,0.2447,No action needed,total_claim_amount = 97390.0 (contributed +0.302 to fraud score) | avg_patient_age = 71.92 (contributed +0.195 to fraud score) | total_claims = 24.0 (contributed +0.17 to fraud score)
PRV56671,No Fraud,0.2445,No action needed,total_deductible_paid = 3354.0 (contributed +0.826 to fraud score) | claims_per_patient = 1.43 (contributed +0.473 to fraud score) | unique_patients = 30.0 (contributed +0.122 to fraud score)
PRV56544,No Fraud,0.2438,No action needed,total_claim_amount = 99630.0 (contributed +0.34 to fraud score) | avg_claim_duration = 3.8 (contributed +0.316 to fraud score) | total_claims = 20.0 (contributed +0.172 to fraud score)
PRV55604,No Fraud,0.2437,No action needed,total_claim_amount = 130000.0 (contributed +0.434 to fraud score) | avg_claim_duration = 6.35 (contributed +0.422 to fraud score) | total_claims = 17.0 (contributed +0.143 to fraud score)
PRV52369,No Fraud,0.2434,No action needed,total_claim_amount = 163780.0 (contributed +0.86 to fraud score) | total_claims = 547.0 (contributed +0.391 to fraud score) | claims_per_patient = 1.53 (contributed +0.227 to fraud score)
PRV52334,No Fraud,0.2431,No action needed,total_deductible_paid = 8564.0 (contributed +0.279 to fraud score) | unique_patients = 49.0 (contributed +0.084 to fraud score) | total_claim_amount = 113980.0 (contributed +0.079 to fraud score)
PRV53374,No Fraud,0.2429,No action needed,claims_per_patient = 2.93 (contributed +0.945 to fraud score) | unique_patients = 132.0 (contributed +0.077 to fraud score) | num_outpatient_claims = 387.0 (contributed +0.032 to fraud score)
PRV52654,No Fraud,0.2426,No action needed,total_claim_amount = 483550.0 (contributed +1.391 to fraud score) | inpatient_ratio = 0.33 (contributed +0.098 to fraud score) | avg_claim_amount = 2731.92 (contributed +0.042 to fraud score)
PRV52092,No Fraud,0.2424,No action needed,total_claim_amount = 141470.0 (contributed +0.171 to fraud score) | avg_num_diagnosis_codes = 3.28 (contributed +0.131 to fraud score) | total_deductible_paid = 13156.0 (contributed +0.114 to fraud score)
PRV56758,No Fraud,0.2424,No action needed,total_claim_amount = 164890.0 (contributed +1.028 to fraud score) | total_claims = 531.0 (contributed +0.39 to fraud score) | claims_per_patient = 1.53 (contributed +0.155 to fraud score)
PRV53251,No Fraud,0.2422,No action needed,claims_per_patient = 1.99 (contributed +0.26 to fraud score) | total_deductible_paid = 4992.0 (contributed +0.228 to fraud score) | unique_patients = 117.0 (contributed +0.108 to fraud score)
PRV54968,No Fraud,0.2417,No action needed,total_deductible_paid = 10870.0 (contributed +0.223 to fraud score) | max_claim_amount = 57000.0 (contributed +0.17 to fraud score) | unique_patients = 41.0 (contributed +0.085 to fraud score)
PRV53456,No Fraud,0.2416,No action needed,avg_num_diagnosis_codes = 3.41 (contributed +0.256 to fraud score) | total_claims = 29.0 (contributed +0.187 to fraud score) | total_deductible_paid = 4432.0 (contributed +0.148 to fraud score)
PRV55734,No Fraud,0.2413,No action needed,claims_per_patient = 2.35 (contributed +0.59 to fraud score) | total_claims = 310.0 (contributed +0.176 to fraud score) | num_outpatient_claims = 310.0 (contributed +0.047 to fraud score)
PRV57188,No Fraud,0.2413,No action needed,total_deductible_paid = 5420.0 (contributed +0.756 to fraud score) | claims_per_patient = 1.17 (contributed +0.467 to fraud score) | total_claims = 21.0 (contributed +0.172 to fraud score)
PRV51639,No Fraud,0.2401,No action needed,total_claim_amount = 112520.0 (contributed +0.234 to fraud score) | total_claims = 29.0 (contributed +0.167 to fraud score) | total_deductible_paid = 12816.0 (contributed +0.138 to fraud score)
PRV55831,No Fraud,0.2401,No action needed,total_claim_amount = 235090.0 (contributed +0.978 to fraud score) | total_claims = 810.0 (contributed +0.396 to fraud score) | claims_per_patient = 1.72 (contributed +0.159 to fraud score)
PRV51449,No Fraud,0.24,No action needed,total_claims = 17.0 (contributed +0.251 to fraud score) | avg_claim_duration = 3.0 (contributed +0.235 to fraud score) | total_deductible_paid = 8544.0 (contributed +0.141 to fraud score)
PRV51486,No Fraud,0.2398,No action needed,claims_per_patient = 1.62 (contributed +0.117 to fraud score) | avg_num_diagnosis_codes = 2.53 (contributed +0.094 to fraud score) | claims_per_physician = 14.27 (contributed +0.09 to fraud score)
PRV57196,No Fraud,0.2395,No action needed,total_deductible_paid = 10710.0 (contributed +0.206 to fraud score) | unique_patients = 42.0 (contributed +0.076 to fraud score) | claims_per_patient = 1.62 (contributed +0.064 to fraud score)
PRV51259,No Fraud,0.2384,No action needed,total_claim_amount = 151960.0 (contributed +0.246 to fraud score) | std_claim_amount = 21548.63 (contributed +0.173 to fraud score) | max_claim_amount = 84000.0 (contributed +0.144 to fraud score)
PRV53009,No Fraud,0.2374,No action needed,total_deductible_paid = 5340.0 (contributed +0.736 to fraud score) | claims_per_patient = 1.61 (contributed +0.467 to fraud score) | avg_claim_amount = 962.7 (contributed +0.035 to fraud score)
PRV55865,No Fraud,0.2368,No action needed,total_claims = 325.0 (contributed +0.208 to fraud score) | claims_per_patient = 1.99 (contributed +0.204 to fraud score) | avg_patient_age = 73.18 (contributed +0.15 to fraud score)
PRV57339,No Fraud,0.2367,No action needed,claims_per_patient = 2.45 (contributed +0.82 to fraud score) | total_claims = 458.0 (contributed +0.205 to fraud score) | num_outpatient_claims = 458.0 (contributed +0.032 to fraud score)
PRV51258,No Fraud,0.2365,No action needed,total_deductible_paid = 8744.0 (contributed +0.233 to fraud score) | avg_claim_duration = 4.14 (contributed +0.196 to fraud score) | avg_claim_amount = 7118.57 (contributed +0.065 to fraud score)
PRV54244,No Fraud,0.2363,No action needed,total_claim_amount = 576370.0 (contributed +1.721 to fraud score) | total_deductible_paid = 50576.0 (contributed +0.071 to fraud score) | unique_patients = 189.0 (contributed +0.023 to fraud score)
PRV56031,No Fraud,0.236,No action needed,avg_claim_duration = 3.68 (contributed +0.305 to fraud score) | total_claims = 19.0 (contributed +0.219 to fraud score) | inpatient_ratio = 0.47 (contributed +0.069 to fraud score)
PRV55240,No Fraud,0.2359,No action needed,total_deductible_paid = 12218.0 (contributed +0.183 to fraud score) | unique_patients = 145.0 (contributed +0.135 to fraud score) | avg_patient_age = 74.03 (contributed +0.051 to fraud score)
PRV55237,No Fraud,0.2359,No action needed,total_claim_amount = 131700.0 (contributed +0.237 to fraud score) | avg_num_diagnosis_codes = 3.28 (contributed +0.157 to fraud score) | unique_patients = 108.0 (contributed +0.094 to fraud score)
PRV55742,No Fraud,0.2354,No action needed,claims_per_patient = 2.08 (contributed +0.405 to fraud score) | total_deductible_paid = 6588.0 (contributed +0.236 to fraud score) | avg_patient_age = 71.96 (contributed +0.136 to fraud score)
PRV54106,No Fraud,0.2351,No action needed,avg_num_diagnosis_codes = 3.36 (contributed +0.263 to fraud score) | total_deductible_paid = 5480.0 (contributed +0.146 to fraud score) | unique_patients = 37.0 (contributed +0.069 to fraud score)
PRV52584,No Fraud,0.235,No action needed,avg_claim_duration = 2.7 (contributed +0.211 to fraud score) | total_deductible_paid = 3274.0 (contributed +0.173 to fraud score) | avg_patient_age = 75.74 (contributed +0.031 to fraud score)
PRV51946,No Fraud,0.2349,No action needed,total_claim_amount = 201370.0 (contributed +1.294 to fraud score) | unique_patients = 89.0 (contributed +0.048 to fraud score) | avg_patient_age = 72.81 (contributed +0.045 to fraud score)
PRV54374,No Fraud,0.2343,No action needed,total_claim_amount = 280020.0 (contributed +0.979 to fraud score) | total_claims = 854.0 (contributed +0.335 to fraud score) | claims_per_patient = 1.88 (contributed +0.234 to fraud score)
PRV57125,No Fraud,0.2338,No action needed,claims_per_patient = 2.4 (contributed +0.833 to fraud score) | total_claims = 370.0 (contributed +0.211 to fraud score) | num_outpatient_claims = 370.0 (contributed +0.052 to fraud score)
PRV53623,Fraud,0.2337,No action needed,total_claim_amount = 245450.0 (contributed +0.905 to fraud score) | claims_per_patient = 2.26 (contributed +0.662 to fraud score) | total_claims = 894.0 (contributed +0.35 to fraud score)
PRV56408,No Fraud,0.2337,No action needed,claims_per_patient = 2.72 (contributed +0.226 to fraud score) | total_deductible_paid = 3554.0 (contributed +0.193 to fraud score) | max_claim_amount = 57000.0 (contributed +0.18 to fraud score)
PRV56546,No Fraud,0.2328,No action needed,avg_claim_duration = 5.56 (contributed +0.624 to fraud score) | avg_claim_amount = 8888.89 (contributed +0.239 to fraud score) | std_claim_amount = 9184.83 (contributed +0.176 to fraud score)
PRV55633,No Fraud,0.2317,No action needed,total_claims = 358.0 (contributed +0.211 to fraud score) | claims_per_patient = 1.71 (contributed +0.17 to fraud score) | avg_num_diagnosis_codes = 2.61 (contributed +0.12 to fraud score)
PRV56336,No Fraud,0.2317,No action needed,total_claim_amount = 237000.0 (contributed +1.343 to fraud score) | avg_claim_duration = 4.57 (contributed +0.193 to fraud score) | total_claims = 21.0 (contributed +0.131 to fraud score)
PRV57518,No Fraud,0.2315,No action needed,claims_per_patient = 2.06 (contributed +0.785 to fraud score) | total_deductible_paid = 2416.0 (contributed +0.165 to fraud score) | avg_claim_amount = 702.37 (contributed +0.039 to fraud score)
PRV51362,No Fraud,0.2306,No action needed,max_claim_amount = 57000.0 (contributed +0.245 to fraud score) | total_claim_amount = 151320.0 (contributed +0.206 to fraud score) | avg_num_diagnosis_codes = 3.25 (contributed +0.182 to fraud score)
PRV56574,No Fraud,0.2305,No action needed,total_deductible_paid = 11828.0 (contributed +0.241 to fraud score) | total_claim_amount = 121180.0 (contributed +0.147 to fraud score) | unique_patients = 50.0 (contributed +0.099 to fraud score)
PRV56470,No Fraud,0.2301,No action needed,total_deductible_paid = 5470.0 (contributed +0.847 to fraud score) | claims_per_patient = 1.42 (contributed +0.407 to fraud score) | avg_patient_age = 71.11 (contributed +0.059 to fraud score)
PRV54977,No Fraud,0.2299,No action needed,total_deductible_paid = 5340.0 (contributed +0.248 to fraud score) | claims_per_physician = 1.89 (contributed +0.24 to fraud score) | claims_per_patient = 1.29 (contributed +0.19 to fraud score)
PRV55826,No Fraud,0.2286,No action needed,total_claims = 26.0 (contributed +0.172 to fraud score) | total_deductible_paid = 4372.0 (contributed +0.155 to fraud score) | total_claim_amount = 106390.0 (contributed +0.152 to fraud score)
PRV55869,No Fraud,0.2284,No action needed,total_deductible_paid = 9194.0 (contributed +0.292 to fraud score) | claims_per_patient = 1.98 (contributed +0.211 to fraud score) | total_claims = 346.0 (contributed +0.189 to fraud score)
PRV52179,No Fraud,0.2276,No action needed,total_deductible_paid = 2306.0 (contributed +0.674 to fraud score) | claims_per_patient = 2.32 (contributed +0.398 to fraud score) | unique_patients = 19.0 (contributed +0.096 to fraud score)
PRV56023,Fraud,0.2272,No action needed,avg_claim_duration = 3.98 (contributed +0.297 to fraud score) | total_deductible_paid = 6538.0 (contributed +0.177 to fraud score) | avg_claim_amount = 2096.9 (contributed +0.043 to fraud score)
PRV51121,No Fraud,0.2267,No action needed,avg_claim_duration = 5.57 (contributed +0.682 to fraud score) | std_claim_amount = 15810.69 (contributed +0.336 to fraud score) | avg_claim_amount = 11582.86 (contributed +0.246 to fraud score)
PRV57638,No Fraud,0.2263,No action needed,avg_claim_duration = 4.44 (contributed +0.477 to fraud score) | total_deductible_paid = 9612.0 (contributed +0.145 to fraud score) | avg_patient_age = 70.78 (contributed +0.116 to fraud score)
PRV52922,No Fraud,0.2262,No action needed,total_deductible_paid = 7476.0 (contributed +0.253 to fraud score) | claims_per_patient = 1.38 (contributed +0.096 to fraud score) | avg_claim_amount = 1500.3 (contributed +0.052 to fraud score)
PRV52563,No Fraud,0.2262,No action needed,total_claim_amount = 173770.0 (contributed +0.867 to fraud score) | total_claims = 473.0 (contributed +0.34 to fraud score) | claims_per_patient = 1.92 (contributed +0.146 to fraud score)
PRV56121,No Fraud,0.2261,No action needed,total_claim_amount = 229000.0 (contributed +1.147 to fraud score) | max_claim_amount = 57000.0 (contributed +0.272 to fraud score) | total_claims = 16.0 (contributed +0.113 to fraud score)
PRV56643,No Fraud,0.2253,No action needed,inpatient_ratio = 0.33 (contributed +0.27 to fraud score) | total_claims = 24.0 (contributed +0.172 to fraud score) | total_deductible_paid = 8544.0 (contributed +0.123 to fraud score)
PRV51180,No Fraud,0.225,No action needed,total_deductible_paid = 2416.0 (contributed +0.184 to fraud score) | unique_patients = 86.0 (contributed +0.093 to fraud score) | claims_per_patient = 1.5 (contributed +0.085 to fraud score)
PRV51959,No Fraud,0.2245,No action needed,total_claim_amount = 213350.0 (contributed +0.838 to fraud score) | total_claims = 751.0 (contributed +0.373 to fraud score) | claims_per_patient = 1.89 (contributed +0.25 to fraud score)
PRV52869,No Fraud,0.2243,No action needed,total_deductible_paid = 7506.0 (contributed +0.272 to fraud score) | unique_patients = 50.0 (contributed +0.085 to fraud score) | claims_per_patient = 1.24 (contributed +0.063 to fraud score)
PRV52633,No Fraud,0.2239,No action needed,total_claims = 379.0 (contributed +0.203 to fraud score) | claims_per_patient = 1.69 (contributed +0.128 to fraud score) | std_claim_amount = 542.59 (contributed +0.037 to fraud score)
PRV54691,No Fraud,0.2222,No action needed,total_claim_amount = 98310.0 (contributed +0.319 to fraud score) | total_deductible_paid = 7048.0 (contributed +0.194 to fraud score) | unique_patients = 66.0 (contributed +0.108 to fraud score)
PRV57347,No Fraud,0.2206,No action needed,total_claim_amount = 145560.0 (contributed +0.256 to fraud score) | unique_physicians = 91.0 (contributed +0.253 to fraud score) | unique_patients = 141.0 (contributed +0.119 to fraud score)
PRV52457,No Fraud,0.2203,No action needed,avg_claim_duration = 4.44 (contributed +0.337 to fraud score) | total_claim_amount = 117000.0 (contributed +0.222 to fraud score) | avg_claim_amount = 13000.0 (contributed +0.21 to fraud score)
PRV55136,No Fraud,0.2197,No action needed,avg_claim_duration = 6.5 (contributed +0.72 to fraud score) | total_claim_amount = 102000.0 (contributed +0.347 to fraud score) | total_deductible_paid = 8544.0 (contributed +0.148 to fraud score)
PRV51673,No Fraud,0.2188,No action needed,claims_per_patient = 2.38 (contributed +0.728 to fraud score) | num_outpatient_claims = 183.0 (contributed +0.048 to fraud score) | total_claims = 183.0 (contributed +0.03 to fraud score)
PRV55855,No Fraud,0.2183,No action needed,avg_claim_amount = 203.07 (contributed +1.108 to fraud score) | claims_per_patient = 1.48 (contributed +0.809 to fraud score) | max_claim_amount = 1800.0 (contributed +0.273 to fraud score)
PRV51001,No Fraud,0.2181,No action needed,claims_per_physician = 1.79 (contributed +0.352 to fraud score) | total_claims = 25.0 (contributed +0.161 to fraud score) | total_deductible_paid = 5340.0 (contributed +0.151 to fraud score)
PRV52602,No Fraud,0.218,No action needed,total_claim_amount = 108520.0 (contributed +0.285 to fraud score) | total_deductible_paid = 8694.0 (contributed +0.201 to fraud score) | unique_patients = 73.0 (contributed +0.092 to fraud score)
PRV52313,No Fraud,0.2177,No action needed,claims_per_patient = 2.57 (contributed +0.825 to fraud score) | total_claims = 504.0 (contributed +0.123 to fraud score) | unique_physicians = 7.0 (contributed +0.023 to fraud score)
PRV54576,No Fraud,0.217,No action needed,avg_claim_duration = 6.75 (contributed +0.411 to fraud score) | total_claim_amount = 113100.0 (contributed +0.216 to fraud score) | total_claims = 16.0 (contributed +0.119 to fraud score)
PRV51813,No Fraud,0.217,No action needed,avg_claim_duration = 8.1 (contributed +0.246 to fraud score) | avg_claim_amount = 11000.0 (contributed +0.217 to fraud score) | total_claim_amount = 110000.0 (contributed +0.188 to fraud score)
PRV51828,No Fraud,0.2159,No action needed,total_claim_amount = 111000.0 (contributed +0.404 to fraud score) | avg_claim_amount = 10090.91 (contributed +0.225 to fraud score) | avg_claim_duration = 3.36 (contributed +0.166 to fraud score)
PRV55281,No Fraud,0.2159,No action needed,claims_per_patient = 2.0 (contributed +0.224 to fraud score) | total_claims = 190.0 (contributed +0.114 to fraud score) | num_outpatient_claims = 190.0 (contributed +0.044 to fraud score)
PRV56570,No Fraud,0.2158,No action needed,total_claims = 30.0 (contributed +0.171 to fraud score) | claims_per_physician = 1.3 (contributed +0.164 to fraud score) | total_deductible_paid = 13884.0 (contributed +0.156 to fraud score)
PRV54276,No Fraud,0.2151,No action needed,claims_per_patient = 2.2 (contributed +0.745 to fraud score) | total_claim_amount = 100810.0 (contributed +0.224 to fraud score) | total_deductible_paid = 4592.0 (contributed +0.202 to fraud score)
PRV53423,No Fraud,0.215,No action needed,total_deductible_paid = 4502.0 (contributed +0.614 to fraud score) | avg_claim_duration = 2.55 (contributed +0.164 to fraud score) | avg_num_diagnosis_codes = 3.43 (contributed +0.162 to fraud score)
PRV55981,No Fraud,0.2146,No action needed,total_claim_amount = 110140.0 (contributed +0.231 to fraud score) | inpatient_ratio = 0.28 (contributed +0.182 to fraud score) | unique_patients = 54.0 (contributed +0.087 to fraud score)
PRV52154,No Fraud,0.2141,No action needed,total_claim_amount = 194350.0 (contributed +0.594 to fraud score) | total_claims = 742.0 (contributed +0.422 to fraud score) | unique_physicians = 89.0 (contributed +0.148 to fraud score)
PRV56170,No Fraud,0.2131,No action needed,total_claims = 18.0 (contributed +0.282 to fraud score) | total_deductible_paid = 8544.0 (contributed +0.208 to fraud score) | inpatient_ratio = 0.44 (contributed +0.186 to fraud score)
PRV51905,No Fraud,0.213,No action needed,claims_per_patient = 3.02 (contributed +1.322 to fraud score) | total_claims = 257.0 (contributed +0.113 to fraud score) | unique_physicians = 1.0 (contributed +0.014 to fraud score)
PRV54257,No Fraud,0.2128,No action needed,claims_per_patient = 2.1 (contributed +0.706 to fraud score) | total_claims = 282.0 (contributed +0.137 to fraud score) | unique_physicians = 1.0 (contributed +0.106 to fraud score)
PRV55793,No Fraud,0.2124,No action needed,avg_claim_duration = 6.17 (contributed +0.695 to fraud score) | std_claim_amount = 10000.0 (contributed +0.221 to fraud score) | avg_claim_amount = 12000.0 (contributed +0.215 to fraud score)
PRV56584,No Fraud,0.2123,No action needed,total_deductible_paid = 4352.0 (contributed +0.729 to fraud score) | claims_per_patient = 1.49 (contributed +0.518 to fraud score) | unique_patients = 37.0 (contributed +0.141 to fraud score)
PRV52107,No Fraud,0.2121,No action needed,total_claim_amount = 124760.0 (contributed +0.162 to fraud score) | total_deductible_paid = 10132.0 (contributed +0.154 to fraud score) | unique_patients = 114.0 (contributed +0.11 to fraud score)
PRV54102,No Fraud,0.2118,No action needed,total_deductible_paid = 8594.0 (contributed +0.251 to fraud score) | total_claims = 23.0 (contributed +0.176 to fraud score) | max_claim_amount = 46000.0 (contributed +0.099 to fraud score)
PRV55041,No Fraud,0.2105,No action needed,total_claims = 21.0 (contributed +0.16 to fraud score) | avg_claim_duration = 3.1 (contributed +0.159 to fraud score) | total_deductible_paid = 5340.0 (contributed +0.128 to fraud score)
PRV53635,No Fraud,0.2098,No action needed,total_deductible_paid = 5540.0 (contributed +0.14 to fraud score) | avg_patient_age = 70.09 (contributed +0.118 to fraud score) | unique_patients = 52.0 (contributed +0.108 to fraud score)
PRV51289,No Fraud,0.2096,No action needed,claims_per_patient = 2.42 (contributed +0.571 to fraud score) | avg_claim_amount = 503.26 (contributed +0.294 to fraud score) | avg_num_diagnosis_codes = 2.27 (contributed +0.228 to fraud score)
PRV52286,No Fraud,0.2094,No action needed,std_claim_amount = 16777.96 (contributed +0.375 to fraud score) | avg_claim_duration = 3.4 (contributed +0.256 to fraud score) | avg_claim_amount = 18000.0 (contributed +0.249 to fraud score)
PRV56131,No Fraud,0.2069,No action needed,avg_claim_duration = 4.53 (contributed +0.289 to fraud score) | total_claim_amount = 141000.0 (contributed +0.194 to fraud score) | total_deductible_paid = 16020.0 (contributed +0.181 to fraud score)
PRV55247,No Fraud,0.2068,No action needed,claims_per_patient = 2.03 (contributed +0.888 to fraud score) | total_deductible_paid = 3594.0 (contributed +0.182 to fraud score) | total_claims = 355.0 (contributed +0.179 to fraud score)
PRV56576,No Fraud,0.2067,No action needed,claims_per_patient = 2.19 (contributed +0.651 to fraud score) | total_claims = 234.0 (contributed +0.115 to fraud score) | unique_physicians = 2.0 (contributed +0.054 to fraud score)
PRV56749,No Fraud,0.2066,No action needed,total_claim_amount = 110210.0 (contributed +0.246 to fraud score) | avg_claim_duration = 3.18 (contributed +0.215 to fraud score) | total_claims = 28.0 (contributed +0.173 to fraud score)
PRV57074,No Fraud,0.2065,No action needed,avg_claim_duration = 4.86 (contributed +0.266 to fraud score) | avg_claim_amount = 8428.57 (contributed +0.254 to fraud score) | total_deductible_paid = 7476.0 (contributed +0.176 to fraud score)
PRV57400,No Fraud,0.2065,No action needed,avg_claim_duration = 4.12 (contributed +0.322 to fraud score) | claims_per_patient = 1.33 (contributed +0.277 to fraud score) | claims_per_physician = 2.67 (contributed +0.265 to fraud score)
PRV54888,No Fraud,0.2055,No action needed,total_claims = 413.0 (contributed +0.427 to fraud score) | claims_per_patient = 1.27 (contributed +0.337 to fraud score) | unique_physicians = 146.0 (contributed +0.194 to fraud score)
PRV54898,No Fraud,0.2044,No action needed,avg_claim_duration = 5.44 (contributed +0.632 to fraud score) | avg_patient_age = 71.67 (contributed +0.14 to fraud score) | avg_claim_amount = 8000.0 (contributed +0.031 to fraud score)
PRV57603,No Fraud,0.204,No action needed,claims_per_patient = 2.22 (contributed +0.56 to fraud score) | avg_num_diagnosis_codes = 2.56 (contributed +0.135 to fraud score) | claims_per_physician = 14.08 (contributed +0.068 to fraud score)
PRV51811,No Fraud,0.2036,No action needed,total_claim_amount = 199000.0 (contributed +1.054 to fraud score) | avg_claim_duration = 5.47 (contributed +0.368 to fraud score) | max_claim_amount = 57000.0 (contributed +0.3 to fraud score)
PRV56755,No Fraud,0.2036,No action needed,total_claims = 18.0 (contributed +0.268 to fraud score) | avg_num_diagnosis_codes = 3.39 (contributed +0.207 to fraud score) | total_deductible_paid = 3274.0 (contributed +0.128 to fraud score)
PRV55507,No Fraud,0.2033,No action needed,claims_per_patient = 2.72 (contributed +0.801 to fraud score) | total_deductible_paid = 3414.0 (contributed +0.647 to fraud score) | avg_claim_amount = 509.77 (contributed +0.238 to fraud score)
PRV55180,No Fraud,0.2028,No action needed,total_deductible_paid = 6938.0 (contributed +0.302 to fraud score) | unique_patients = 112.0 (contributed +0.087 to fraud score) | claims_per_physician = 2.31 (contributed +0.054 to fraud score)
PRV56547,No Fraud,0.2027,No action needed,avg_claim_duration = 4.71 (contributed +0.307 to fraud score) | avg_claim_amount = 8571.43 (contributed +0.274 to fraud score) | total_deductible_paid = 7476.0 (contributed +0.147 to fraud score)
PRV51862,No Fraud,0.2022,No action needed,total_claims = 20.0 (contributed +0.213 to fraud score) | total_claim_amount = 92870.0 (contributed +0.089 to fraud score) | inpatient_ratio = 0.4 (contributed +0.046 to fraud score)
PRV51061,No Fraud,0.202,No action needed,claims_per_patient = 2.16 (contributed +0.725 to fraud score) | avg_num_diagnosis_codes = 2.55 (contributed +0.315 to fraud score) | max_claim_amount = 6700.0 (contributed +0.011 to fraud score)
PRV56777,No Fraud,0.202,No action needed,inpatient_ratio = 0.3 (contributed +0.159 to fraud score) | total_claim_amount = 113150.0 (contributed +0.131 to fraud score) | total_deductible_paid = 14054.0 (contributed +0.109 to fraud score)
PRV56607,No Fraud,0.2017,No action needed,total_deductible_paid = 4622.0 (contributed +0.207 to fraud score) | claims_per_patient = 1.57 (contributed +0.14 to fraud score) | unique_physicians = 6.0 (contributed +0.049 to fraud score)
PRV54852,No Fraud,0.2014,No action needed,claims_per_patient = 2.2 (contributed +0.586 to fraud score) | num_outpatient_claims = 180.0 (contributed +0.05 to fraud score) | total_claims = 180.0 (contributed +0.034 to fraud score)
PRV51389,No Fraud,0.2005,No action needed,total_claim_amount = 153470.0 (contributed +0.399 to fraud score) | unique_patients = 77.0 (contributed +0.093 to fraud score) | avg_patient_age = 72.77 (contributed +0.064 to fraud score)
PRV54502,No Fraud,0.2,No action needed,avg_num_diagnosis_codes = 8.67 (contributed +0.48 to fraud score) | avg_claim_duration = 11.33 (contributed +0.317 to fraud score) | avg_claim_amount = 18333.33 (contributed +0.1 to fraud score)
PRV53873,No Fraud,0.1997,No action needed,unique_patients = 76.0 (contributed +0.069 to fraud score) | total_deductible_paid = 15212.0 (contributed +0.012 to fraud score) | num_outpatient_claims = 68.0 (contributed +0.005 to fraud score)
PRV53252,No Fraud,0.1994,No action needed,claims_per_patient = 2.48 (contributed +0.692 to fraud score) | total_deductible_paid = 3204.0 (contributed +0.18 to fraud score) | unique_patients = 31.0 (contributed +0.125 to fraud score)
PRV55851,No Fraud,0.1991,No action needed,total_deductible_paid = 6568.0 (contributed +0.78 to fraud score) | claims_per_patient = 1.29 (contributed +0.522 to fraud score) | unique_patients = 35.0 (contributed +0.123 to fraud score)
PRV51422,No Fraud,0.1986,No action needed,avg_claim_duration = 5.8 (contributed +0.342 to fraud score) | num_outpatient_claims = 21.0 (contributed +0.215 to fraud score) | total_deductible_paid = 4382.0 (contributed +0.154 to fraud score)
PRV54846,No Fraud,0.1986,No action needed,total_claim_amount = 117930.0 (contributed +0.316 to fraud score) | total_deductible_paid = 9672.0 (contributed +0.175 to fraud score) | unique_patients = 40.0 (contributed +0.099 to fraud score)
PRV55399,No Fraud,0.1982,No action needed,total_deductible_paid = 3204.0 (contributed +0.677 to fraud score) | claims_per_patient = 1.93 (contributed +0.467 to fraud score) | total_claims = 27.0 (contributed +0.178 to fraud score)
